Token ID,Owner Address,Attribute rank,Attribute specie,Stacked
1,0x881ff198660c59da0c5f6ba1f52dc68814786eaf,Rare,fox,true
2,0x509f601f4bdeb2d15dfb6bf2276eb78617aaf13c,Rare,fox,true
3,0x266a2bA1051a6C1eb57b9d8A208668386250D5ea,Rare,fox,
4,0x509f601f4bdeb2d15dfb6bf2276eb78617aaf13c,Rare,fox,true
5,0x999f5799ebef6bac8742f6947288f1529dc41944,Epic,fox,true
6,0xac1ef6ed4f3608d792aa29b5f6df6762c165d37f,Rare,fox,true
7,0x25e129cb28cb4a826e725a7606faf296f8c97083,Epic,fox,true
8,0x0b54bc8b825bce02445ec0434dd27af94e0fe737,Rare,fox,true
9,0x2caa0A493605fa1D81Ca3087C9f57Bf2e441F1EA,Rare,fox,
10,0x94f9ffe803de88435670ec68850332d37ccb3039,Legendary,fox,true
11,0x771260775e21149167d4209e8d5b3049abb4af24,Mystic,fox,true
12,0x3873c19c10cc34288494da97aca1837f68cc2118,Rare,fox,true
13,0x21451C5d2Dc3BF7baf98219BC9A7c4219eAc0B67,Epic,fox,
14,0xdE91347706991da48bBDb063e22363EfC3778408,Rare,fox,
15,0xddeca658f2733e82544417222846fff0481bead2,Epic,fox,true
16,0x3bd0ae47eb2de5ea566967b82ba2f663b3d441b0,Rare,fox,true
17,0xa0caa7803205026ec08818664c4211aff7565f56,Rare,fox,true
18,0x23574bbf68ad465aa78e2e91bc4cfc9926072c92,Rare,fox,true
19,0x7C3821B5DA9004a64d50c056dD2A31d2a22A3b66,Rare,fox,
20,0x56DCF6a4668e29624212E87B28FD629FA12C3a0e,Legendary,fox,
21,0x4527213a14b5eb0e170d78c53633bac5bd67d6a9,Rare,fox,true
22,0x987d195a8a6c47c9c3516349e584b005bcd2226d,Epic,fox,true
23,0x422ed09461d5e7dfa5ea2198dae54c267e448115,Rare,fox,true
24,0xdbf318ab2a86f00d44e6a55dd22da61c49db414e,Rare,fox,true
25,0xddeca658f2733e82544417222846fff0481bead2,Epic,fox,true
26,0xb119171497de432b4a3a5654c9d0b6a142af50a3,Rare,fox,true
27,0x0d38213f35178f4671ddb7012025dee7e1e3aa6a,Rare,fox,true
28,0x968ccae60420900d180bc9eb8440d2620ffa82d2,Rare,fox,true
29,0x82DCfD59be5853ae414e86efA103e266a3654789,Rare,fox,
30,0x8185e3aecdcaea2b7e8a9f00f745eb0a796abf23,Legendary,fox,true
31,0xfee2d1dc50867ea4c2746b87b00f51bfb3ed8daf,Rare,fox,true
32,0x266a2bA1051a6C1eb57b9d8A208668386250D5ea,Rare,fox,
33,0x266a2bA1051a6C1eb57b9d8A208668386250D5ea,Mystic,fox,
34,0xcac3d7ddc8948c18b7f64f7a1273d472624bb008,Rare,fox,true
35,0x4527213a14b5eb0e170d78c53633bac5bd67d6a9,Epic,fox,true
36,0xfB0c069C7593379467D4834d8c634477F6C23Be0,Rare,fox,
37,0xd4a69cb9e2b4a5f60587368ff77ef144fc3548f3,Rare,fox,true
38,0x266a2bA1051a6C1eb57b9d8A208668386250D5ea,Rare,fox,
39,0x968ccae60420900d180bc9eb8440d2620ffa82d2,Epic,fox,true
40,0xf52611a15830d59d4775022826ad9f5f6899fd0b,Legendary,fox,true
41,0x2caa0A493605fa1D81Ca3087C9f57Bf2e441F1EA,Rare,fox,
42,0xddeca658f2733e82544417222846fff0481bead2,Rare,fox,true
43,0xcbfbee75931903c1b03363b08b30b646b29d452e,Rare,fox,true
44,0xb119171497de432b4a3a5654c9d0b6a142af50a3,Epic,fox,true
45,0xa823b8715b0466ecdc0b93fbb80bc30a8c863fae,Epic,fox,true
46,0xdcda0e83d73eae94ec711fbb3a0a6852e8d9ef64,Rare,fox,true
47,0xdcda0e83d73eae94ec711fbb3a0a6852e8d9ef64,Rare,fox,true
48,0x9dd077c8e59641db2d1f3279608aee6524071cbe,Epic,fox,true
49,0x597c3ead36c78c27941675143a3229d8f05971a4,Rare,fox,true
50,0xf7207e405aef631c43783b228ac5c0add906f2eb,Legendary,fox,true
51,0x61a04185661dc31efc1263edd0da0d378c3e8f58,Rare,fox,true
52,0xa050a4cc6d2061a2fb2b1446caf13e8b910f9861,Rare,fox,true
53,0xe8ba21dae64c131b780e599a8e99a4440693878d,Rare,fox,true
54,0xcac3d7ddc8948c18b7f64f7a1273d472624bb008,Rare,fox,true
55,0xf52611a15830d59d4775022826ad9f5f6899fd0b,Mystic,fox,true
56,0xdbf80d32fd55d8c579fd72f37d3fd11b13c5e6c1,Rare,fox,true
57,0xddeca658f2733e82544417222846fff0481bead2,Epic,fox,true
58,0x8a47003a5aeb9b7be468b9ed8c717994ba3da014,Rare,fox,true
59,0xc4922dcb995fb86d2ccfa6c360bea678fad00002,Rare,fox,true
60,0x3995aabd2c2b5dda8ff989a653487a24512d9ccd,Legendary,fox,true
61,0xe7a4d1dbda5b46f6ac9f992d807e8b4e41ad6192,Rare,fox,true
62,0x2355CB504e3CcB9cd1C706CE7B4cD58f8696daE1,Rare,fox,
63,0x44Fd482106C26B7DDc78b15A2ca8502A17E6fd63,Rare,fox,
64,0x0d283ef0b53d7b4dafd68560b5efc101c7fded9f,Rare,fox,true
65,0x88d75956f8c13af615c6d9758aad0f6095125ae4,Epic,fox,true
